yearID,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards,bbrefID
1898,28,WHS,NL,28.0,117.0,-4.0,2.0,0.0,-2.0,1.0,-3.0,-0.3,4.0,1.0,0.1,0.49,0.498,0.3,-0.1,3.0,,5/62,,caseydo01
1899,29,WHS,NL,9.0,37.0,-5.0,0.0,0.0,-2.0,0.0,-7.0,-0.6,1.0,-5.0,-0.5,0.432,0.496,-0.3,-0.2,-3.0,,/5,,caseydo01
1899,29,BRO,NL,134.0,565.0,-18.0,0.0,0.0,-2.0,4.0,-16.0,-1.5,19.0,4.0,0.5,0.489,0.491,0.8,0.2,6.0,,*5,,caseydo01
1900,30,BRO,NL,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.53,0.5,0.0,0.0,0.0,,/5,,caseydo01
1901,31,DET,AL,128.0,593.0,-8.0,1.0,0.0,7.0,4.0,4.0,0.3,20.0,24.0,2.3,0.503,0.502,1.7,1.0,17.0,,*5/H,,caseydo01
1902,32,DET,AL,132.0,578.0,-6.0,-1.0,0.0,2.0,4.0,-1.0,-0.1,20.0,20.0,1.9,0.5,0.5,1.8,0.6,18.0,,*5,,caseydo01
1903,33,CHC,NL,112.0,477.0,-4.0,-1.0,0.0,-4.0,4.0,-6.0,-0.6,16.0,10.0,1.0,0.495,0.496,1.4,0.1,14.0,,*5,,caseydo01
1904,34,CHC,NL,136.0,591.0,-4.0,-1.0,0.0,0.0,5.0,0.0,0.0,18.0,18.0,1.9,0.5,0.5,1.9,0.6,18.0,,*5/2,,caseydo01
1905,35,CHC,NL,144.0,593.0,-13.0,0.0,0.0,6.0,5.0,-3.0,-0.3,19.0,17.0,1.7,0.498,0.498,1.1,1.2,11.0,,*5/H6,,caseydo01
1906,36,BRO,NL,149.0,646.0,-2.0,-1.0,0.0,-5.0,5.0,-3.0,-0.5,20.0,17.0,1.6,0.498,0.498,2.4,-0.1,22.0,,*5,,caseydo01
1907,37,BRO,NL,141.0,595.0,-9.0,-1.0,0.0,4.0,5.0,-1.0,-0.2,19.0,18.0,1.9,0.5,0.5,1.5,1.0,14.0,,*5/H,,caseydo01
1884,18,PHK,UA,2,8,-2,0,0,0,0,-1,-0.1,0,-1,-0.1,.432,.499,-0.1,0.0,-1,,/2,,dalyto01
1887,21,CHC,NL,74,278,-21,1,0,3,4,-13,-1.2,10,-3,-0.3,.486,.493,-0.4,0.5,-6,,2/O346,,dalyto01
1888,22,CHC,NL,65,230,-13,0,0,5,4,-5,-0.6,8,3,0.3,.492,.497,-0.1,0.9,-2,,2/O,,dalyto01
